image_id,stars,mean,sd,votes,visual,composition,quality,semantic
210561,1,2.9143,2.1056,35,2.1143,2.0000,1.9714,2.0857
22402,1,3.3226,1.8688,31,2.5161,2.3226,2.6774,2.0000
905656,1,3.3438,1.6384,32,2.5625,2.4688,1.9062,2.6250
802119,1,3.5667,1.7750,30,2.0000,2.4667,2.4333,2.6333
490332,1,3.6667,1.9357,30,2.2000,2.2000,2.4000,2.4000
75416,1,3.7419,2.0325,31,2.6129,2.2581,2.7097,1.8710
409138,1,3.8182,1.9114,33,1.9091,2.0909,1.8485,2.3030
435055,1,4.0000,1.9664,31,2.5806,2.4839,2.6129,2.0645
29894,1,4.1000,1.7879,30,2.5667,2.3000,2.7333,2.2333
13723,1,4.1750,1.8521,40,2.1000,2.3250,1.9250,2.5000
604892,1,4.2188,1.8269,32,2.2188,2.3438,2.0625,2.4062
10772,1,4.2500,1.6461,32,2.1562,2.4375,2.2188,2.5000
33184,1,4.3548,1.6643,31,2.2903,2.5806,2.4839,2.6452
8645,1,4.3750,1.7180,32,2.4688,2.3750,2.3750,2.3125
286899,1,4.3871,1.7450,31,2.6452,2.4516,2.4194,2.0000
940513,1,4.4000,1.9582,30,2.8333,2.3333,2.6667,2.1333
42533,1,4.4000,1.5755,35,2.2857,2.6286,2.1143,2.9429
282788,1,4.4054,1.8175,37,2.2973,2.2973,2.2973,2.2703
189326,1,4.4412,1.8780,34,2.1176,2.5000,2.5294,2.5882
254569,1,4.4516,1.8769,31,2.3226,2.7419,2.4839,2.5484
820097,2,5.0000,1.7678,33,2.5152,2.6364,2.4545,2.6970
17871,2,5.0000,1.3229,33,2.6364,2.8788,2.7879,2.6970
54774,2,5.0882,1.4221,34,2.7353,2.6471,2.6765,2.3529
135271,2,5.0882,1.8318,34,2.6176,2.7647,2.8235,2.5588
28346,2,5.1562,1.8159,32,2.4375,2.7812,2.8438,2.6875
245894,2,5.2188,1.6988,32,2.5625,2.7500,2.5625,2.7500
317515,2,5.2581,1.7314,31,2.5484,2.6129,2.8387,2.7742
488367,2,5.2581,1.7314,31,2.7742,2.7097,2.8710,2.4194
31892,2,5.3226,1.5997,31,2.9032,2.9032,2.8387,2.7742
755330,2,5.3226,1.6611,31,2.3871,2.6452,2.4839,2.5806
20850,2,5.3667,1.8659,30,2.7667,2.6000,2.6667,2.6667
316398,2,5.3947,1.6030,38,2.3158,2.9211,2.8158,2.6579
28978,2,5.4000,1.6316,30,2.8333,2.5667,2.8333,2.6667
461307,2,5.4333,1.6750,30,2.9000,2.9333,2.8667,2.7667
118100,2,5.4516,1.9120,31,2.8065,2.6452,2.7742,2.7419
372904,2,5.4688,1.9005,32,2.9688,2.2812,2.7500,2.7188
91666,2,5.4688,1.9005,32,2.7500,2.6875,2.5938,2.6875
66514,2,5.4688,1.5447,32,2.4062,2.6562,2.8125,2.7500
799197,2,5.4839,1.9126,31,2.2581,2.7097,2.8710,2.7742
153369,2,5.4872,1.8761,39,2.3846,2.5128,2.4872,2.8205
635473,3,5.9333,1.7006,30,2.7667,2.7000,3.0000,2.8000
244683,3,5.9375,1.5013,32,2.7812,2.8438,2.8438,2.7500
698274,3,5.9667,1.4735,30,2.7333,2.9667,2.8333,3.0000
676062,3,6.0000,1.6609,30,2.8667,2.9667,2.8333,2.9667
759658,3,6.0526,1.4695,38,2.8158,3.0263,2.6579,2.8421
518093,3,6.0667,1.5298,30,2.7333,2.8667,2.7667,2.8667
416210,3,6.0857,1.7884,35,2.9429,2.9429,2.7429,2.7143
901650,3,6.1000,1.6887,30,3.0333,2.9333,2.9000,2.8000
818755,3,6.1026,1.6826,39,2.9231,2.8718,3.0769,2.6923
50654,3,6.1111,1.7366,36,2.9722,2.8333,2.7778,2.8611
27049,3,6.1429,1.3535,35,3.1143,2.8000,2.8857,2.9143
510745,3,6.1613,1.6350,31,2.5484,2.9677,2.8387,2.8387
855872,3,6.1667,1.5775,30,2.9333,3.0000,3.0667,2.7000
902513,3,6.1667,1.4404,30,2.4333,2.8667,3.0000,3.0000
866295,3,6.2059,1.5527,34,2.7941,3.0588,2.9412,2.8235
176323,3,6.2258,1.4991,31,2.9355,2.7419,3.0645,2.8710
439227,3,6.2424,1.5417,33,2.6970,2.9697,2.9091,2.6970
805017,3,6.2500,1.7300,36,3.0556,2.9167,2.9167,2.8611
29622,3,6.2941,1.4879,34,3.0294,2.9706,2.9412,2.8824
950689,3,6.2941,1.6972,34,3.1176,3.0294,2.7941,2.9412
952377,4,6.7667,1.5687,30,3.0333,2.8000,2.9000,2.9667
553486,4,6.7742,1.4074,31,2.7419,3.0323,3.0968,3.1290
312045,4,6.7941,1.4095,34,3.1471,3.0294,3.1176,3.0294
268200,4,6.8182,1.2613,33,3.1212,2.9697,3.0000,2.8788
926739,4,6.8205,1.4845,39,2.8205,3.1795,3.1282,3.0769
861043,4,6.8571,1.5174,35,2.7714,3.1429,3.2000,3.0286
327412,4,6.8824,1.2496,34,3.1471,3.1176,2.9706,3.0882
451041,4,6.8889,1.5077,36,3.0000,3.0833,3.1389,2.9167
815778,4,6.9667,1.1592,30,2.8667,3.0333,3.0000,3.0000
817488,4,6.9677,1.2776,31,3.0968,3.1613,3.0323,3.0968
75761,4,6.9677,1.4488,31,3.0645,3.1613,3.0645,3.0645
625068,4,6.9714,1.4650,35,3.1429,3.1429,3.2000,2.9714
589354,4,7.0000,1.4868,39,3.2821,3.2051,2.9487,3.1026
147560,4,7.0000,1.3678,32,3.1875,2.9062,3.1562,2.9375
929308,4,7.0278,1.2532,36,3.0556,3.0556,2.8611,3.0833
34362,4,7.0294,1.4665,34,3.0882,3.1471,2.9118,3.0588
67658,4,7.0333,1.5643,30,3.2333,3.1333,3.0333,3.2000
456194,4,7.0750,1.5424,40,2.9750,3.0750,3.1750,3.0250
76104,4,7.0857,1.2919,35,3.1143,3.3143,2.7429,3.0571
678012,4,7.0909,1.3547,33,3.1212,3.0303,3.0303,3.0606
133252,5,7.5000,1.2247,30,3.1667,3.3000,3.1667,3.1000
714552,5,7.5333,1.4077,30,3.2333,3.2333,3.1667,3.3333
773808,5,7.5588,1.3968,34,3.3529,3.2647,3.2353,3.2353
540833,5,7.5714,1.3566,35,3.1143,3.2571,3.1143,3.1714
664768,5,7.6333,1.2994,30,3.3000,3.2000,3.1667,3.1333
772195,5,7.6486,1.2068,37,3.3784,3.3514,3.2432,3.4054
891536,5,7.6667,1.2685,30,3.4333,3.1667,3.1333,3.2000
822814,5,7.6970,1.2866,33,3.4242,3.2424,3.1515,3.0909
35763,5,7.7143,1.3120,42,3.5238,3.4048,3.4286,3.2381
95079,5,7.7667,1.3817,30,3.2333,3.1333,3.0000,3.1000
83036,5,7.8333,1.2617,30,3.3000,3.3333,3.1000,3.1667
795084,5,7.8571,1.1668,35,3.3143,3.2857,3.1714,3.3143
79720,5,7.8571,1.1668,35,3.4286,3.1429,3.2857,3.2857
898103,5,7.8824,1.1218,34,3.1471,3.2647,3.0882,3.1176
547891,5,7.8857,1.0784,35,3.2571,3.4000,3.1143,3.3429
942018,5,7.9189,1.2556,37,3.2973,3.3514,3.2973,3.3514
604125,5,7.9677,1.3780,31,3.2903,3.3871,3.0000,3.4194
663791,5,8.1000,1.3222,30,3.4333,3.2333,3.3667,3.2000
910001,5,8.1875,1.0607,32,3.4375,3.5312,3.0938,3.2812
648622,5,8.4062,1.2664,32,3.4375,3.3750,3.2188,3.3438
