scientific,common,order,family,tol_name,tol_how,birdnet_label,birdnet_how
Struthio molybdophanes,Somali Ostrich,Struthioniformes,Struthionidae,Struthio molybdophanes,exact,Struthio molybdophanes_Somali Ostrich,exact
Struthio camelus,Common Ostrich,Struthioniformes,Struthionidae,Struthio camelus,exact,Struthio camelus_Common Ostrich,exact
Dromaius novaehollandiae,Emu,Casuariiformes,Casuariidae,Dromaius novaehollandiae,exact,Dromaius novaehollandiae_Emu,exact
Casuarius casuarius,Southern Cassowary,Casuariiformes,Casuariidae,Casuarius casuarius,exact,Casuarius casuarius_Southern Cassowary,exact
Casuarius bennetti,Dwarf Cassowary,Casuariiformes,Casuariidae,Casuarius bennetti,exact,Casuarius bennetti_Dwarf Cassowary,exact
Casuarius unappendiculatus,Northern Cassowary,Casuariiformes,Casuariidae,Casuarius unappendiculatus,exact,Casuarius unappendiculatus_Northern Cassowary,exact
Apteryx owenii,Little Spotted Kiwi,Apterygiformes,Apterygidae,Apteryx owenii,exact,Apteryx owenii_Little Spotted Kiwi,exact
Apteryx maxima,Great Spotted Kiwi,Apterygiformes,Apterygidae,,none,Apteryx maxima_Great Spotted Kiwi,exact
Apteryx australis,Southern Brown Kiwi,Apterygiformes,Apterygidae,Apteryx australis,exact,Apteryx australis_Southern Brown Kiwi,exact
Apteryx rowi,Okarito Kiwi,Apterygiformes,Apterygidae,Apteryx rowi,exact,Apteryx rowi_Okarito Kiwi,exact
Apteryx mantelli,North Island Brown Kiwi,Apterygiformes,Apterygidae,Apteryx mantelli,exact,Apteryx mantelli_North Island Brown Kiwi,exact
Rhea pennata,Lesser Rhea,Rheiformes,Rheidae,Rhea pennata,exact,Rhea pennata_Lesser Rhea,exact
Rhea americana,Greater Rhea,Rheiformes,Rheidae,Rhea americana,exact,Rhea americana_Greater Rhea,exact
Tinamotis pentlandii,Puna Tinamou,Tinamiformes,Tinamidae,Tinamotis pentlandii,exact,Tinamotis pentlandii_Puna Tinamou,exact
Tinamotis ingoufi,Patagonian Tinamou,Tinamiformes,Tinamidae,Tinamotis ingoufi,exact,Tinamotis ingoufi_Patagonian Tinamou,exact
Eudromia formosa,Quebracho Crested Tinamou,Tinamiformes,Tinamidae,Eudromia formosa,exact,Eudromia formosa_Quebracho Crested Tinamou,exact
Eudromia elegans,Elegant Crested Tinamou,Tinamiformes,Tinamidae,Eudromia elegans,exact,Eudromia elegans_Elegant Crested Tinamou,exact
Taoniscus nanus,Dwarf Tinamou,Tinamiformes,Tinamidae,Taoniscus nanus,exact,Taoniscus nanus_Dwarf Tinamou,exact
Nothura boraquira,White-bellied Nothura,Tinamiformes,Tinamidae,Nothura boraquira,exact,Nothura boraquira_White-bellied Nothura,exact
Nothura minor,Lesser Nothura,Tinamiformes,Tinamidae,Nothura minor,exact,Nothura minor_Lesser Nothura,exact
Nothura darwinii,Darwin's Nothura,Tinamiformes,Tinamidae,Nothura darwinii,exact,Nothura darwinii_Darwin's Nothura,exact
Nothura maculosa,Spotted Nothura,Tinamiformes,Tinamidae,Nothura maculosa,exact,Nothura maculosa_Spotted Nothura,exact
Rhynchotus maculicollis,Huayco Tinamou,Tinamiformes,Tinamidae,Rhynchotus maculicollis,exact,Rhynchotus maculicollis_Huayco Tinamou,exact
Rhynchotus rufescens,Red-winged Tinamou,Tinamiformes,Tinamidae,Rhynchotus rufescens,exact,Rhynchotus rufescens_Red-winged Tinamou,exact
Nothoprocta taczanowskii,Taczanowski's Tinamou,Tinamiformes,Tinamidae,Nothoprocta taczanowskii,exact,Nothoprocta taczanowskii_Taczanowski's Tinamou,exact
Nothoprocta ornata,Ornate Tinamou,Tinamiformes,Tinamidae,Nothoprocta ornata,exact,Nothoprocta ornata_Ornate Tinamou,exact
Nothoprocta perdicaria,Chilean Tinamou,Tinamiformes,Tinamidae,Nothoprocta perdicaria,exact,Nothoprocta perdicaria_Chilean Tinamou,exact
Nothoprocta cinerascens,Brushland Tinamou,Tinamiformes,Tinamidae,Nothoprocta cinerascens,exact,Nothoprocta cinerascens_Brushland Tinamou,exact
Nothoprocta pentlandii,Andean Tinamou,Tinamiformes,Tinamidae,Nothoprocta pentlandii,exact,Nothoprocta pentlandii_Andean Tinamou,exact
Nothoprocta curvirostris,Curve-billed Tinamou,Tinamiformes,Tinamidae,Nothoprocta curvirostris,exact,Nothoprocta curvirostris_Curve-billed Tinamou,exact
Nothocercus julius,Tawny-breasted Tinamou,Tinamiformes,Tinamidae,Nothocercus julius,exact,Nothocercus julius_Tawny-breasted Tinamou,exact
Nothocercus bonapartei,Highland Tinamou,Tinamiformes,Tinamidae,Nothocercus bonapartei,exact,Nothocercus bonapartei_Highland Tinamou,exact
Nothocercus nigrocapillus,Hooded Tinamou,Tinamiformes,Tinamidae,Nothocercus nigrocapillus,exact,Nothocercus nigrocapillus_Hooded Tinamou,exact
Tinamus tao,Grey Tinamou,Tinamiformes,Tinamidae,Tinamus tao,exact,Tinamus tao_Grey Tinamou,exact
Tinamus solitarius,Solitary Tinamou,Tinamiformes,Tinamidae,Tinamus solitarius,exact,Tinamus solitarius_Solitary Tinamou,exact
Tinamus osgoodi,Black Tinamou,Tinamiformes,Tinamidae,Tinamus osgoodi,exact,Tinamus osgoodi_Black Tinamou,exact
Tinamus major,Great Tinamou,Tinamiformes,Tinamidae,Tinamus major,exact,Tinamus major_Great Tinamou,exact
Tinamus guttatus,White-throated Tinamou,Tinamiformes,Tinamidae,Tinamus guttatus,exact,Tinamus guttatus_White-throated Tinamou,exact
Crypturellus cinereus,Cinereous Tinamou,Tinamiformes,Tinamidae,Crypturellus cinereus,exact,Crypturellus cinereus_Cinereous Tinamou,exact
Crypturellus berlepschi,Berlepsch's Tinamou,Tinamiformes,Tinamidae,Crypturellus berlepschi,exact,Crypturellus berlepschi_Berlepsch's Tinamou,exact
Crypturellus soui,Little Tinamou,Tinamiformes,Tinamidae,Crypturellus soui,exact,Crypturellus soui_Little Tinamou,exact
Crypturellus ptaritepui,Tepui Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus ptaritepui_Tepui Tinamou,exact
Crypturellus obsoletus,Brown Tinamou,Tinamiformes,Tinamidae,Crypturellus obsoletus,exact,Crypturellus obsoletus_Brown Tinamou,exact
Crypturellus undulatus,Undulated Tinamou,Tinamiformes,Tinamidae,Crypturellus undulatus,exact,Crypturellus undulatus_Undulated Tinamou,exact
Crypturellus transfasciatus,Pale-browed Tinamou,Tinamiformes,Tinamidae,Crypturellus transfasciatus,exact,Crypturellus transfasciatus_Pale-browed Tinamou,exact
Crypturellus strigulosus,Brazilian Tinamou,Tinamiformes,Tinamidae,Crypturellus strigulosus,exact,Crypturellus strigulosus_Brazilian Tinamou,exact
Crypturellus duidae,Grey-legged Tinamou,Tinamiformes,Tinamidae,Crypturellus duidae,exact,Crypturellus duidae_Grey-legged Tinamou,exact
Crypturellus erythropus,Red-legged Tinamou,Tinamiformes,Tinamidae,Crypturellus erythropus,exact,Crypturellus erythropus_Red-legged Tinamou,exact
Crypturellus noctivagus,Yellow-legged Tinamou,Tinamiformes,Tinamidae,Crypturellus noctivagus,exact,Crypturellus noctivagus_Yellow-legged Tinamou,exact
Crypturellus atrocapillus,Black-capped Tinamou,Tinamiformes,Tinamidae,Crypturellus atrocapillus,exact,Crypturellus atrocapillus_Black-capped Tinamou,exact
Crypturellus boucardi,Slaty-breasted Tinamou,Tinamiformes,Tinamidae,Crypturellus boucardi,exact,Crypturellus boucardi_Slaty-breasted Tinamou,exact
Crypturellus kerriae,Choco Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus kerriae_Choco Tinamou,exact
Crypturellus variegatus,Variegated Tinamou,Tinamiformes,Tinamidae,Crypturellus variegatus,exact,Crypturellus variegatus_Variegated Tinamou,exact
Crypturellus cinnamomeus,Thicket Tinamou,Tinamiformes,Tinamidae,Crypturellus cinnamomeus,exact,Crypturellus cinnamomeus_Thicket Tinamou,exact
Crypturellus brevirostris,Rusty Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus brevirostris_Rusty Tinamou,exact
Crypturellus bartletti,Bartlett's Tinamou,Tinamiformes,Tinamidae,Crypturellus bartletti,exact,Crypturellus bartletti_Bartlett's Tinamou,exact
Crypturellus parvirostris,Small-billed Tinamou,Tinamiformes,Tinamidae,Crypturellus parvirostris,exact,Crypturellus parvirostris_Small-billed Tinamou,exact
Crypturellus casiquiare,Barred Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus casiquiare_Barred Tinamou,exact
Crypturellus tataupa,Tataupa Tinamou,Tinamiformes,Tinamidae,Crypturellus tataupa,exact,Crypturellus tataupa_Tataupa Tinamou,exact
Anhima cornuta,Horned Screamer,Anseriformes,Anhimidae,Anhima cornuta,exact,Anhima cornuta_Horned Screamer,exact
Chauna chavaria,Northern Screamer,Anseriformes,Anhimidae,Chauna chavaria,exact,Chauna chavaria_Northern Screamer,exact
Chauna torquata,Southern Screamer,Anseriformes,Anhimidae,Chauna torquata,exact,Chauna torquata_Southern Screamer,exact
Anseranas semipalmata,Magpie Goose,Anseriformes,Anseranatidae,Anseranas semipalmata,exact,Anseranas semipalmata_Magpie Goose,exact
Thalassornis leuconotus,White-backed Duck,Anseriformes,Anatidae,Thalassornis leuconotus,exact,Thalassornis leuconotus_White-backed Duck,exact
Dendrocygna guttata,Spotted Whistling Duck,Anseriformes,Anatidae,Dendrocygna guttata,exact,Dendrocygna guttata_Spotted Whistling Duck,exact
Dendrocygna eytoni,Plumed Whistling Duck,Anseriformes,Anatidae,Dendrocygna eytoni,exact,Dendrocygna eytoni_Plumed Whistling Duck,exact
Dendrocygna viduata,White-faced Whistling Duck,Anseriformes,Anatidae,Dendrocygna viduata,exact,Dendrocygna viduata_White-faced Whistling Duck,exact
Dendrocygna autumnalis,Black-bellied Whistling Duck,Anseriformes,Anatidae,Dendrocygna autumnalis,exact,Dendrocygna autumnalis_Black-bellied Whistling Duck,exact
Dendrocygna arborea,West Indian Whistling Duck,Anseriformes,Anatidae,Dendrocygna arborea,exact,Dendrocygna arborea_West Indian Whistling Duck,exact
