side,scientific,candidate,distance,candidate_in_avilist
birdnet,Cyanocorax coeruleus,Cyanocorax caeruleus,1,False
birdnet,Sylviorthorhynchus desmurii,Sylviorthorhynchus desmursii,1,False
tol,Chalcopsitta scintillata,Chalcopsitta sintillata,1,False
tol,Corcorax melanorhamphos,Corcorax melanoramphos,1,False
tol,Gyps rueppelli,Gyps rueppellii,1,False
tol,Ictinaetus malaiensis,Ictinaetus malayensis,1,False
tol,Notopholia corusca,Notopholia corrusca,1,False
tol,Oenanthe heuglinii,Oenanthe heuglini,1,False
tol,Phyllergates cucullatus,Phyllergates cuculatus,1,False
tol,Phylloscopus sibilatrix,Phylloscopus sibillatrix,1,False
birdnet,Grus carunculata,Grus carunculatus,2,False
birdnet,Grus paradisea,Grus paradiseus,2,False
birdnet,Ramphocelus bresilia,Ramphocelus bresilius,2,False
birdnet,Tachyspiza haplochrous,Tachyspiza haplochroa,2,False
tol,Amazona mercenarius,Amazona mercenaria,2,False
tol,Aramides cajaneus,Aramides cajanea,2,False
tol,Chelidorhynx hypoxanthus,Chelidorhynx hypoxantha,2,False
tol,Grus virgo,Grus vipio,2,False
tol,Laterallus spilonota,Laterallus spilonotus,2,False
tol,Mascarinus mascarinus,Mascarinus mascarin,2,False
tol,Monticola cinclorhyncha,Monticola cinclorhynchus,2,False
tol,Orthopsittaca manilatus,Orthopsittaca manilata,2,False
tol,Rubigula squamata,Rubigula squamatus,2,False
tol,Salpornis spilonota,Salpornis spilonotus,2,False
tol,Saroglossa spilopterus,Saroglossa spiloptera,2,False
tol,Sicalis uropygialis,Sicalis uropigyalis,2,False
tol,Strigops habroptilus,Strigops habroptila,2,False
tol,Phylloscopus omeiensis,Phylloscopus emeiensis,1,True
birdnet,Cinnyris infrenatus,Cinnyris frenatus,2,True
birdnet,Columba oliviae,Columba livia,2,True
birdnet,Pachycephala ornata,Pachycephala inornata,2,True
birdnet,Phylloscopus makirensis,Phylloscopus maforensis,2,True
birdnet,Pomarea mira,Pomarea nigra,2,True
birdnet,Rhipidura sauli,Rhipidura dahli,2,True
birdnet,Trichoglossus weberi,Trichoglossus meyeri,2,True
birdnet,Zosterops meeki,Zosterops meyeni,2,True
tol,Cinclodes albiventris,Cinclodes albidiventris,2,True
tol,Grallaria occabambae,Grallaria cochabambae,2,True
tol,Pachycephala ornata,Pachycephala inornata,2,True
tol,Pomarea mira,Pomarea nigra,2,True
tol,Prinia cooki,Prinia rocki,2,True
tol,Ptyonoprogne rufigula,Ptyonoprogne fuligula,2,True
tol,Pycnonotus leucops,Pycnonotus leucotis,2,True
tol,Pyriglena maura,Pyriglena atra,2,True
tol,Scytalopus altirostris,Scytalopus acutirostris,2,True
tol,Scytalopus meridanus,Scytalopus perijanus,2,True
tol,Trichoglossus meyeri,Trichoglossus weberi,2,True
tol,Turdus niveiceps,Turdus nigriceps,2,True
tol,Zosterops meeki,Zosterops meyeni,2,True
