scientific,common,order,family,birdnet_label,birdnet_how
Ornithorhynchus anatinus,Platypus,Monotremata,Ornithorhynchidae,Ornithorhynchus anatinus_Platypus,exact
Tachyglossus aculeatus,Short-beaked Echidna,Monotremata,Tachyglossidae,Tachyglossus aculeatus_Short-beaked Echidna,exact
Zaglossus attenboroughi,Attenborough's Long-beaked Echidna,Monotremata,Tachyglossidae,,none
Zaglossus bartoni,Eastern Long-beaked Echidna,Monotremata,Tachyglossidae,,none
Zaglossus bruijnii,Western Long-beaked Echidna,Monotremata,Tachyglossidae,,none
Caenolestes caniventer,Gray-bellied Shrew-opossum,Paucituberculata,Caenolestidae,,none
Caenolestes condorensis,Condor Shrew-opossum,Paucituberculata,Caenolestidae,,none
Caenolestes convelatus,Blackish Shrew-opossum,Paucituberculata,Caenolestidae,,none
Caenolestes fuliginosus,Dusky Shrew-opossum,Paucituberculata,Caenolestidae,,none
Caenolestes sangay,Sangay Shrew-opossum,Paucituberculata,Caenolestidae,,none
Lestoros inca,Incan Shrew-opossum,Paucituberculata,Caenolestidae,,none
Rhyncholestes raphanurus,Long-nosed Shrew-opossum,Paucituberculata,Caenolestidae,,none
Caluromys derbianus,Derby's Woolly Opossum,Didelphimorphia,Didelphidae,Caluromys derbianus_Derby's Woolly Opossum,exact
Caluromys lanatus,Brown-eared Woolly Opossum,Didelphimorphia,Didelphidae,Caluromys lanatus_Brown-eared Woolly Opossum,exact
Caluromys philander,Bare-tailed Woolly Opossum,Didelphimorphia,Didelphidae,Caluromys philander_Bare-tailed Woolly Opossum,exact
Caluromysiops irruptus,Black-shouldered Opossum,Didelphimorphia,Didelphidae,,none
Chironectes minimus,Water Opossum,Didelphimorphia,Didelphidae,,none
Didelphis albiventris,Brazilian White-eared Opossum,Didelphimorphia,Didelphidae,Didelphis albiventris_White-eared Opossum,exact
Didelphis aurita,Southern Black-eared Opossum,Didelphimorphia,Didelphidae,Didelphis aurita_Big-eared Opossum,exact
Didelphis imperfecta,Guianan White-eared Opossum,Didelphimorphia,Didelphidae,,none
Didelphis marsupialis,Northern Black-eared Opossum,Didelphimorphia,Didelphidae,Didelphis marsupialis_Southern Opossum,exact
Didelphis pernigra,Andean White-eared Opossum,Didelphimorphia,Didelphidae,,none
Didelphis poecilotus,Southern White-eared Opossum,Didelphimorphia,Didelphidae,,none
Didelphis virginiana,Virginia Opossum,Didelphimorphia,Didelphidae,Didelphis virginiana_Virginia Opossum,exact
Lutreolina crassicaudata,Big Lutrine Opossum,Didelphimorphia,Didelphidae,,none
Lutreolina massoia,Massoia's Lutrine Opossum,Didelphimorphia,Didelphidae,,none
Philander andersoni,Anderson's Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander canus,Common Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander deltae,Orinoco Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander mcilhennyi,McIlhenny's Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander melanurus,Dark Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander nigratus,Black Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander opossum,Gray Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander pebas,Pebas Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander quica,Southern Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Philander vossi,Northern Four-eyed Opossum,Didelphimorphia,Didelphidae,Philander vossi_Northern Four-eyed Opossum,exact
Marmosa adleri,Adler's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa alstoni,Alston's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa andersoni,Anderson's Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa chachapoya,Chachapoya Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa constantiae,White-bellied Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa demerarae,Northeastern Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa germana,Northwestern Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa isthmica,Panama Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa jansae,Jansa's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa lepida,Rufous Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa macrotarsus,Western Amazonian Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa mexicana,Mexican Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa murina,Linnaeus's Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa nicaraguae,Nicaraguan Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa paraguayana,Southeastern Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa parda,Peruvian Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa perplexa,Anthony's Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa phaea,Little Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa rapposa,Bolivian Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa robinsoni,Robinson's Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa rubra,Red Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa rutteri,Bare-tailed Woolly Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa simonsi,Simons's Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa tyleriana,Tyleria Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa waterhousei,Waterhouse's Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa xerophila,Dryland Mouse Opossum,Didelphimorphia,Didelphidae,,none
Marmosa zeledoni,Zeledon's Mouse Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis adusta,Sepia Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis americana,Northern Three-striped Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis arlindoi,Arlindo's Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis brevicaudata,Guyanan Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis dimidiata,Orange-sided Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis domestica,Gray Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis emiliae,Emilie's Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis gardneri,Gardner's Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis glirina,Amazonian Red-sided Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis handleyi,Handley's Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis iheringi,Ihering's Three-striped Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis kunsi,Pygmy Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis osgoodi,Osgood's Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis palliolata,Hooded Red-sided Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis peruviana,Peruvian Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis pinocchio,Long-nosed Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis reigi,Reig's Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis ronaldi,Pine's Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis saci,Saci Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis sanctaerosae,Santa Rosa Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis scalops,Tawny-headed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis semilineata,Half-striped Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis touan,Touan Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis unistriata,Single-striped Opossum,Didelphimorphia,Didelphidae,,none
Monodelphis vossi,Voss's Short-tailed Opossum,Didelphimorphia,Didelphidae,,none
Tlacuatzin balsasensis,Balsas Gray Mouse Opossum,Didelphimorphia,Didelphidae,,none
Tlacuatzin canescens,Tehuantepec Gray Mouse Opossum,Didelphimorphia,Didelphidae,,none
Tlacuatzin gaumeri,Yucatán Gray Mouse Opossum,Didelphimorphia,Didelphidae,,none
Tlacuatzin insularis,Tres Marías Gray Mouse Opossum,Didelphimorphia,Didelphidae,,none
Tlacuatzin sinaloae,Northern Gray Mouse Opossum,Didelphimorphia,Didelphidae,,none
Metachirus aritanai,Aritana's Brown Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Metachirus myosuros,Common Brown Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Metachirus nudicaudatus,Guianan Brown Four-eyed Opossum,Didelphimorphia,Didelphidae,,none
Chacodelphys formosa,Pygmy Opossum,Didelphimorphia,Didelphidae,,none
Cryptonanus agricolai,Agricola's Opossum,Didelphimorphia,Didelphidae,,none
Cryptonanus chacoensis,Chacoan Mouse Opossum,Didelphimorphia,Didelphidae,,none
Cryptonanus guahybae,Guaiba Mouse Opossum,Didelphimorphia,Didelphidae,,none
Cryptonanus unduaviensis,Unduavi Mouse Opossum,Didelphimorphia,Didelphidae,,none
Gracilinanus aceramarcae,Aceramarca Opossum,Didelphimorphia,Didelphidae,,none
Gracilinanus agilis,Agile Opossum,Didelphimorphia,Didelphidae,,none
Gracilinanus dryas,Wood Sprite Opossum,Didelphimorphia,Didelphidae,,none
Gracilinanus emiliae,Emilie's Opossum,Didelphimorphia,Didelphidae,,none
Gracilinanus marica,Northern Gracile Opossum,Didelphimorphia,Didelphidae,,none
Gracilinanus microtarsus,Brazilian Gracile Opossum,Didelphimorphia,Didelphidae,,none
Gracilinanus peruanus,Peruvian Opossum,Didelphimorphia,Didelphidae,,none
Lestodelphys halli,Patagonian Opossum,Didelphimorphia,Didelphidae,,none
Marmosops bishopi,Bishop's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops carri,Carr's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops caucae,Tschudi's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops chucha,Cordillera Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops creightoni,Creighton's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops fuscatus,Dusky Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops handleyi,Handley's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops incanus,Gray Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops invictus,Panama Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops juninensis,Junin Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops magdalenae,Río Magdalena Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops marina,Silva's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops noctivagus,White-bellied Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops ocellatus,Spectacled Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops ojastii,Ojasti's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops pakaraimae,Pantepui Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops parvidens,Delicate Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops paulensis,Brazilian Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops pinheiroi,Pinheiro's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops soinii,Soini's Slender Opossum,Didelphimorphia,Didelphidae,,none
Marmosops woodalli,Woodall's Slender Opossum,Didelphimorphia,Didelphidae,,none
Thylamys bruchi,Dry Chaco Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys citellus,Mesopotamian Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys elegans,Elegant Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys karimii,Karimi's Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys macrurus,Paraguayan Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys pallidior,Pallid Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys pulchellus,Chacoan Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys pusillus,Common Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys sponsorius,Argentine Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys tatei,Tate's Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys velutinus,Dwarf Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Thylamys venustus,Buff-bellied Fat-tailed Opossum,Didelphimorphia,Didelphidae,,none
Glironia venusta,Bushy-tailed Opossum,Didelphimorphia,Didelphidae,,none
Hyladelphys kalinowskii,Kalinowski's Opossum,Didelphimorphia,Didelphidae,,none
Dromiciops bozinovici,Pancho's Monito del Monte,Microbiotheria,Microbiotheriidae,,none
Dromiciops gliroides,Southern Monito del Monte,Microbiotheria,Microbiotheriidae,,none
Notoryctes caurinus,Northwestern Marsupial Mole,Notoryctemorphia,Notoryctidae,,none
Notoryctes typhlops,Central Desert Marsupial Mole,Notoryctemorphia,Notoryctidae,,none
Dasycercus archeri,Southern Mulgara,Dasyuromorphia,Dasyuridae,,none
Dasycercus blythi,Spinifex Mulgara,Dasyuromorphia,Dasyuridae,,none
Dasycercus cristicauda,Crest-tailed Mulgara,Dasyuromorphia,Dasyuridae,,none
Dasycercus hillieri,Ampurta,Dasyuromorphia,Dasyuridae,,none
Dasycercus marlowi,Little Mulgara,Dasyuromorphia,Dasyuridae,,none
Dasycercus woolleyae,Northern Mulgara,Dasyuromorphia,Dasyuridae,,none
Dasykaluta rosamondae,Kaluta,Dasyuromorphia,Dasyuridae,,none
Dasyuroides byrnei,Kowari,Dasyuromorphia,Dasyuridae,,none
Dasyurus albopunctatus,New Guinea Quoll,Dasyuromorphia,Dasyuridae,,none
Dasyurus geoffroii,Western Quoll,Dasyuromorphia,Dasyuridae,Dasyurus geoffroii_Western Quoll,exact
Dasyurus hallucatus,Northern Quoll,Dasyuromorphia,Dasyuridae,,none
Dasyurus maculatus,Spotted-tailed Quoll,Dasyuromorphia,Dasyuridae,Dasyurus maculatus_Spotted-tailed Quoll,exact
Dasyurus spartacus,Bronze Quoll,Dasyuromorphia,Dasyuridae,,none
Dasyurus viverrinus,Eastern Quoll,Dasyuromorphia,Dasyuridae,,none
Myoictis leucura,Woolley's Three-striped Dasyure,Dasyuromorphia,Dasyuridae,,none
Myoictis melas,Müller's Three-striped Dasyure,Dasyuromorphia,Dasyuridae,,none
Myoictis wallacii,Wallace's Three-striped Dasyure,Dasyuromorphia,Dasyuridae,,none
Myoictis wavica,Tate's Three-striped Dasyure,Dasyuromorphia,Dasyuridae,,none
Neophascogale lorentzii,Speckled Dasyure,Dasyuromorphia,Dasyuridae,,none
Parantechinus apicalis,Dibbler,Dasyuromorphia,Dasyuridae,,none
Phascolosorex doriae,Red-bellied Phascogale,Dasyuromorphia,Dasyuridae,,none
Phascolosorex dorsalis,Narrow-striped Dasyure,Dasyuromorphia,Dasyuridae,,none
Pseudantechinus bilarni,Sandstone Pseudantechinus,Dasyuromorphia,Dasyuridae,,none
Pseudantechinus macdonnellensis,Fat-tailed Pseudantechinus,Dasyuromorphia,Dasyuridae,,none
Pseudantechinus mimulus,Carpentarian Pseudantechinus,Dasyuromorphia,Dasyuridae,,none
Pseudantechinus ningbing,Ningbing Pseudantechinus,Dasyuromorphia,Dasyuridae,,none
Pseudantechinus woolleyae,Woolley's Pseudantechinus,Dasyuromorphia,Dasyuridae,,none
Sarcophilus harrisii,Tasmanian Devil,Dasyuromorphia,Dasyuridae,Sarcophilus harrisii_Tasmanian Devil,exact
Antechinus adustus,Rusty Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus agilis,Agile Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus argentus,Silver-headed Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus arktos,Black-tailed Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus bellus,Fawn Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus flavipes,Yellow-footed Antechinus,Dasyuromorphia,Dasyuridae,Antechinus flavipes_Yellow-footed Antechinus,exact
Antechinus godmani,Atherton Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus leo,Cinnamon Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus mimetes,Mainland Dusky Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus minimus,Swamp Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus mysticus,Buff-footed Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus stuartii,Brown Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus subtropicus,Subtropical Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus swainsonii,Tasmanian Dusky Antechinus,Dasyuromorphia,Dasyuridae,,none
Antechinus vandycki,Tasman Peninsula Dusky Antechinus,Dasyuromorphia,Dasyuridae,,none
Murexia aspera,Southern Short-furred Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia habbema,Habbema Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia longicaudata,Aru Short-furred Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia maxima,Northern Short-furred Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia melanura,Black-tailed Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia murex,Eastern Short-furred Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia naso,Western Long-nosed Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia rothschildi,Broad-striped Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia tafa,Eastern Long-nosed Dasyure,Dasyuromorphia,Dasyuridae,,none
Murexia wilhelmina,Lesser Dasyure,Dasyuromorphia,Dasyuridae,,none
Phascogale calurus,Red-tailed Phascogale,Dasyuromorphia,Dasyuridae,,none
Phascogale pirata,Northern Brush-tailed Phascogale,Dasyuromorphia,Dasyuridae,,none
Phascogale tapoatafa,Common Brush-tailed Phascogale,Dasyuromorphia,Dasyuridae,Phascogale tapoatafa_Brush-tailed Phascogale,exact
Planigale gilesi,Giles's Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale ingrami,Little Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale kendricki,Orange-headed Pilbara Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale maculata,Common Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale novaeguineae,Papuan Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale petrophila,Arnhem Plateau Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale subtilissima,Kimberley Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale tealei,Cracking-clay Pilbara Planigale,Dasyuromorphia,Dasyuridae,,none
Planigale tenuirostris,Narrow-nosed Planigale,Dasyuromorphia,Dasyuridae,,none
Antechinomys auritus,Long-eared Kultarr,Dasyuromorphia,Dasyuridae,,none
Antechinomys laniger,Eastern Kultarr,Dasyuromorphia,Dasyuridae,,none
Antechinomys longicaudatus,Greater Long-tailed Dunnart,Dasyuromorphia,Dasyuridae,,none
Antechinomys spenceri,Gibber Kultarr,Dasyuromorphia,Dasyuridae,,none
Ningaui ridei,Wongai Ningaui,Dasyuromorphia,Dasyuridae,,none
Ningaui timealeyi,Pilbara Ningaui,Dasyuromorphia,Dasyuridae,,none
Ningaui yvonneae,Southern Ningaui,Dasyuromorphia,Dasyuridae,,none
Sminthopsis archeri,Chestnut Dunnart,Dasyuromorphia,Dasyuridae,,none
Sminthopsis bindi,Kakadu Dunnart,Dasyuromorphia,Dasyuridae,,none
