path,tier,scene,scene_group,light,setting,framing,license,attribution,source,url,md5
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,finchlake2000 https://www.flickr.com/photos/finchlake/5155791233/,openimages:validation:cd89e777ee492d4f,https://open-images-dataset.s3.amazonaws.com/validation/cd89e777ee492d4f.jpg,5f44cdd7022e9bbbd3cb74d5cc836fef
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Michael Woodruff https://www.flickr.com/photos/nightjar/447170783/,openimages:validation:49109b133389fe77,https://open-images-dataset.s3.amazonaws.com/validation/49109b133389fe77.jpg,fceeffb5b7cdac412c59c3daef08a5f8
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Jade Craven https://www.flickr.com/photos/cravenjade/21845763029,openimages:validation:cd17357fb8953737,https://open-images-dataset.s3.amazonaws.com/validation/cd17357fb8953737.jpg,e4e91f83aeab40adf5f640dda30c06aa
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,OakleyOriginals https://www.flickr.com/photos/oakleyoriginals/4866229527,openimages:validation:a454d57fb0e7f456,https://open-images-dataset.s3.amazonaws.com/validation/a454d57fb0e7f456.jpg,ec3fba6aa9ea3d3300e63f1e7526d86d
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,NKMphotos (DoodleMom) https://www.flickr.com/photos/scrapgeek/19299709258,openimages:validation:a942ff043695a6e8,https://open-images-dataset.s3.amazonaws.com/validation/a942ff043695a6e8.jpg,30cc43f019f6eab162d3ac0ef92c8ef2
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,AnneCN https://www.flickr.com/photos/anne-cathrine_nyberg/3714495280,openimages:validation:9b363f22cb13271e,https://open-images-dataset.s3.amazonaws.com/validation/9b363f22cb13271e.jpg,a18e657dfa0d2f7927cc8093e4f342dd
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Stacey MacNaught https://www.flickr.com/photos/staceycav/13335524433,openimages:validation:59b1b434067dd333,https://open-images-dataset.s3.amazonaws.com/validation/59b1b434067dd333.jpg,d65967d1851edd01e1440cada0a94e3f
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Bill  Damon https://www.flickr.com/photos/billdamon/9280835902/,openimages:validation:dfe4c6cb9aa03e9d,https://open-images-dataset.s3.amazonaws.com/validation/dfe4c6cb9aa03e9d.jpg,fe565f66e76a942848ad8258838c7b19
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,nociveglia https://www.flickr.com/photos/40385177@N07/14321684097/,openimages:validation:96792d9d197d0951,https://open-images-dataset.s3.amazonaws.com/validation/96792d9d197d0951.jpg,455e811ddbb550cc102c375a51a08681
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Teemu Lehtinen https://www.flickr.com/photos/deemu/10151753665,openimages:validation:1203f70f16f36d18,https://open-images-dataset.s3.amazonaws.com/validation/1203f70f16f36d18.jpg,f014197f068e17e382dbf2284a1b7eca
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Anita Ritenour https://www.flickr.com/photos/puliarfanita/4977400928,openimages:validation:6325c038418482bf,https://open-images-dataset.s3.amazonaws.com/validation/6325c038418482bf.jpg,e80b3b074c536d0d3779341b3a3f4e8f
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Tyler Karaszewski https://www.flickr.com/photos/tylerkaraszewski/6518152427,openimages:validation:674280aa2442cdea,https://open-images-dataset.s3.amazonaws.com/validation/674280aa2442cdea.jpg,846bd3ee8b637779346b5873ee416703
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,pululante https://www.flickr.com/photos/pululante/10252302833,openimages:validation:735c1c90edfb1fbd,https://open-images-dataset.s3.amazonaws.com/validation/735c1c90edfb1fbd.jpg,54f64bedaceae87fd085c55bb42f2714
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,mhiguera https://www.flickr.com/photos/manuuuuuu/4490277018,openimages:validation:222e8ad382d2bb98,https://open-images-dataset.s3.amazonaws.com/validation/222e8ad382d2bb98.jpg,e74dda56eb372eb600b6b01d7a121de1
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Daniele https://www.flickr.com/photos/eleinads/5787760770,openimages:validation:408b918f0d724046,https://open-images-dataset.s3.amazonaws.com/validation/408b918f0d724046.jpg,e715c4d5d628681525c956d8ddee773e
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Don DeBold https://www.flickr.com/photos/ddebold/2660817895,openimages:validation:6a6759c2f8f5dab5,https://open-images-dataset.s3.amazonaws.com/validation/6a6759c2f8f5dab5.jpg,0f5b9a87c1abf750c3c6a4637ef3d5d1
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,David  Talens https://www.flickr.com/photos/tapeda88/17206334352,openimages:validation:5e6e7dd03cfd7b35,https://open-images-dataset.s3.amazonaws.com/validation/5e6e7dd03cfd7b35.jpg,59767fa3ff6e9073a52d3a266a6c1f39
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Danny Chapman https://www.flickr.com/photos/11152520@N03/2531820109,openimages:validation:c3909bc47ec10c05,https://open-images-dataset.s3.amazonaws.com/validation/c3909bc47ec10c05.jpg,74653893fefe4a8d19d9a88e93cf2775
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Peter Corbett https://www.flickr.com/photos/ptc24/14030487199,openimages:validation:4027b103c11f03c5,https://open-images-dataset.s3.amazonaws.com/validation/4027b103c11f03c5.jpg,2915b4f8c5e872f3f035970086ca3443
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Macnolete https://www.flickr.com/photos/macnolete/1432016205,openimages:validation:485ce86f48c18ec3,https://open-images-dataset.s3.amazonaws.com/validation/485ce86f48c18ec3.jpg,055f1aa4b6676b145a4045be10573be6
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,CheepShot https://www.flickr.com/photos/23755697@N04/8755168589,openimages:validation:8a14966b929a8b78,https://open-images-dataset.s3.amazonaws.com/validation/8a14966b929a8b78.jpg,667b030098fa2a7af9873075e08180b4
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Benny Mazur https://www.flickr.com/photos/benimoto/371426030,openimages:validation:d2aa16bc4f8db110,https://open-images-dataset.s3.amazonaws.com/validation/d2aa16bc4f8db110.jpg,5eeb1679d32d1a2c35a7e95050715f69
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Kevin Jones https://www.flickr.com/photos/kj-an/2555457224,openimages:validation:536c39768f11b471,https://open-images-dataset.s3.amazonaws.com/validation/536c39768f11b471.jpg,5f4eada0ea50fcfbd00e6994461a86e4
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,guilherme jofili https://www.flickr.com/photos/gjofili/9233628903,openimages:validation:de9b8cdfe567bc8c,https://open-images-dataset.s3.amazonaws.com/validation/de9b8cdfe567bc8c.jpg,0c0a5cbc241a002db4105abad7a337ba
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Alek-z https://www.flickr.com/photos/alekzelbo/5516354872,openimages:validation:05d58d655a672dbe,https://open-images-dataset.s3.amazonaws.com/validation/05d58d655a672dbe.jpg,03555fc0733fa3c53007e2f583a3f1a5
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Andrew C https://www.flickr.com/photos/acryptozoo/16522339832,openimages:validation:797f87aa9e24594a,https://open-images-dataset.s3.amazonaws.com/validation/797f87aa9e24594a.jpg,cb9293ecbf65e75e35548bc09940f64b
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Ed Uthman https://www.flickr.com/photos/euthman/6889908464,openimages:validation:e0d7e02bb71f3da8,https://open-images-dataset.s3.amazonaws.com/validation/e0d7e02bb71f3da8.jpg,3194a81f8659b9b88f7ed31728766608
