scientific,common
Odocoileus hemionus,Mule Deer
Canis latrans,Coyote
Procyon lotor,Common Raccoon
Otospermophilus beecheyi,California Ground Squirrel
Sciurus griseus,Western Gray Squirrel
Sciurus niger,Fox Squirrel
Lynx rufus,Bobcat
Urocyon cinereoargenteus,Gray Fox
Mephitis mephitis,Striped Skunk
Didelphis virginiana,Virginia Opossum
Lepus californicus,Black-tailed Jackrabbit
Sylvilagus audubonii,Desert Cottontail
Ursus americanus,American Black Bear
Cervus canadensis,Tule Elk
Zalophus californianus,California Sea Lion
Phoca vitulina,Harbor Seal
Mirounga angustirostris,Northern Elephant Seal
Enhydra lutris,Sea Otter
Marmota flaviventris,Yellow-bellied Marmot
Puma concolor,Mountain Lion
Rangifer tarandus,Caribou
Alces alces,Moose
Ursus arctos,Grizzly Bear
Buteo jamaicensis,Red-tailed Hawk
Buteo lineatus,Red-shouldered Hawk
Astur cooperii,Cooper's Hawk
Falco sparverius,American Kestrel
Falco peregrinus,Peregrine Falcon
Pandion haliaetus,Osprey
Haliaeetus leucocephalus,Bald Eagle
Elanus leucurus,White-tailed Kite
Circus hudsonius,Northern Harrier
Cathartes aura,Turkey Vulture
Megascops kennicottii,Western Screech-Owl
Bubo virginianus,Great Horned Owl
Tyto furcata,American Barn Owl
Athene cunicularia,Burrowing Owl
Aphelocoma californica,California Scrub-Jay
Cyanocitta stelleri,Steller's Jay
Corvus brachyrhynchos,American Crow
Corvus corax,Common Raven
Pica nuttalli,Yellow-billed Magpie
Melanerpes formicivorus,Acorn Woodpecker
Colaptes auratus,Northern Flicker
Dryobates nuttallii,Nuttall's Woodpecker
Ardea herodias,Great Blue Heron
Ardea alba,Great Egret
Egretta thula,Snowy Egret
Nycticorax nycticorax,Black-crowned Night Heron
Pelecanus occidentalis,Brown Pelican
Nannopterum auritum,Double-crested Cormorant
Anas platyrhynchos,Mallard
Branta canadensis,Canada Goose
Fulica americana,American Coot
Larus occidentalis,Western Gull
Sayornis nigricans,Black Phoebe
Calypte anna,Anna's Hummingbird
Zonotrichia leucophrys,White-crowned Sparrow
Melozone crissalis,California Towhee
Junco hyemalis,Dark-eyed Junco
Haemorhous mexicanus,House Finch
Turdus migratorius,American Robin
Sialia mexicana,Western Bluebird
Baeolophus inornatus,Oak Titmouse
Mimus polyglottos,Northern Mockingbird
